TIRF Data File: Project 1792; Run 13; ISO False; ID 3q92C5n
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1330.44	3.38	14.589	-1.486	30.35	-127.76	-10905.39	-6322.75	44.35	83.53	0.02	1.72	24.38	27.55	31.53	54.39	57.08	88.52	74.22	25.82	-6249.75	5.42	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.45	3.40	14.605	-1.478	30.34	-105.77	-10877.84	-6323.46	45.73	91.72	0.02	1.72	24.40	27.91	31.28	54.40	57.12	88.49	74.03	25.82	-6249.75	5.42	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.46	3.48	14.617	-1.487	30.34	-92.82	-10850.09	-6328.64	48.19	98.12	0.01	1.71	24.41	28.16	31.69	54.36	57.13	88.50	73.69	25.83	-6249.75	5.52	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.47	3.48	14.628	-1.489	30.33	-92.58	-10839.10	-6337.61	51.53	100.78	0.01	1.71	24.39	28.64	31.15	54.40	57.12	88.49	73.25	25.84	-6249.75	5.52	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.48	3.51	14.642	-1.484	30.33	-102.90	-10852.94	-6345.42	50.41	99.17	0.02	1.71	24.38	28.64	31.48	54.37	57.14	88.45	72.78	25.82	-6249.75	5.62	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.49	3.57	14.652	-1.483	30.33	-115.60	-10884.09	-6357.41	48.88	94.56	0.02	1.71	24.35	28.77	31.85	54.44	57.10	88.44	72.36	25.78	-6249.75	5.62	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.50	3.61	14.658	-1.481	30.33	-128.82	-10919.64	-6368.92	48.11	90.23	0.02	1.71	24.32	29.50	31.38	54.44	57.11	88.44	72.04	25.77	-6249.75	5.71	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.51	3.66	14.672	-1.483	30.32	-128.18	-10947.69	-6392.07	52.06	90.64	0.02	1.71	24.29	29.99	31.35	54.50	57.11	88.42	71.76	25.75	-6249.75	5.71	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.52	3.72	14.684	-1.484	30.32	-112.04	-10963.03	-6407.36	53.17	95.74	0.02	1.71	24.28	30.23	31.57	54.53	57.09	88.32	71.60	25.72	-6249.75	5.81	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.53	3.77	14.688	-1.477	30.31	-86.37	-10968.62	-6409.77	49.80	103.31	0.01	1.71	24.26	30.60	31.66	54.61	57.06	88.30	71.60	25.70	-6249.75	5.81	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.54	3.77	14.700	-1.476	30.31	-67.68	-10965.45	-6411.74	46.13	108.97	0.01	1.71	24.25	30.84	31.41	54.69	57.03	88.30	71.68	25.69	-6249.75	5.91	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.55	3.85	14.704	-1.483	30.31	-65.52	-10949.04	-6408.68	42.38	108.66	0.01	1.71	24.26	31.21	31.65	54.77	57.02	88.29	71.76	25.67	-6249.75	5.91	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.56	3.91	14.725	-1.483	30.31	-72.24	-10915.72	-6416.85	41.64	104.69	0.01	1.70	24.28	31.69	31.61	54.84	57.03	88.29	71.89	25.69	-6249.75	6.00	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
