TIRF Data File: Project 1792; Run 10; ISO False; ID -_DTFHg
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1330.51	3.63	14.671	-1.497	30.75	-97.23	-11112.58	-6391.36	49.23	79.05	0.02	1.74	24.15	28.95	32.14	54.92	57.55	87.06	80.28	24.79	-6249.75	5.71	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.52	3.66	14.680	-1.490	30.75	-93.94	-11141.82	-6377.03	51.18	80.04	0.01	1.75	24.13	29.32	32.06	54.94	57.62	87.16	80.39	24.79	-6249.75	5.81	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.53	3.68	14.693	-1.484	30.74	-92.26	-11170.09	-6365.85	53.94	80.11	0.01	1.75	24.13	29.68	31.82	55.00	57.72	87.21	80.50	24.81	-6249.75	5.81	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.54	3.74	14.701	-1.490	30.75	-91.96	-11192.67	-6362.81	55.60	78.36	0.01	1.76	24.13	29.81	32.17	55.05	57.77	87.27	80.47	24.81	-6249.75	5.91	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.55	3.79	14.709	-1.483	30.73	-91.73	-11199.42	-6374.11	59.79	75.95	0.01	1.76	24.17	30.29	32.13	55.08	57.86	87.37	80.44	24.82	-6249.75	5.91	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.56	3.85	14.718	-1.494	30.74	-95.55	-11195.71	-6378.16	59.59	72.74	0.01	1.76	24.18	30.66	32.21	55.10	57.92	87.46	80.47	24.81	-6249.75	6.00	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.57	3.91	14.732	-1.486	30.74	-104.07	-11185.33	-6385.47	62.75	68.33	0.02	1.75	24.22	31.27	32.04	55.13	57.99	87.51	80.52	24.79	-6249.75	6.00	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.58	3.94	14.750	-1.491	30.73	-111.38	-11168.41	-6380.79	64.95	64.93	0.02	1.75	24.25	31.64	31.97	55.16	58.05	87.51	80.59	24.78	-6249.75	6.10	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.59	3.98	14.748	-1.497	30.73	-115.74	-11144.75	-6370.28	61.82	62.64	0.02	1.75	24.29	31.76	32.15	55.19	58.14	87.56	80.62	24.78	-6249.75	6.10	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.60	4.04	14.757	-1.496	30.73	-119.42	-11112.20	-6374.97	61.88	62.94	0.02	1.74	24.25	32.25	32.11	55.16	58.23	87.54	80.70	24.76	-6249.75	6.20	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.61	4.11	14.776	-1.493	30.73	-122.18	-11090.96	-6378.34	59.81	64.17	0.02	1.74	24.23	32.86	32.09	55.26	58.33	87.47	80.80	24.77	-6249.75	6.20	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.62	4.17	14.788	-1.497	30.73	-125.60	-11080.29	-6388.25	61.18	65.61	0.02	1.73	24.21	33.22	32.17	55.32	58.35	87.47	80.99	24.77	-6249.75	6.29	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.63	4.22	14.783	-1.499	30.73	-125.95	-11080.75	-6399.36	63.27	67.66	0.02	1.73	24.21	33.71	32.13	55.34	58.44	87.49	81.14	24.77	-6249.75	6.29	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.64	4.28	14.788	-1.489	30.72	-124.76	-11088.57	-6407.97	63.38	69.00	0.02	1.73	24.21	34.32	31.97	55.39	58.47	87.49	81.20	24.76	-6249.75	6.39	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
