TIRF Data File: Project 1792; Run 42; ISO False; ID Ufy_hzq
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1334.13	4.32	14.775	-1.483	30.78	-118.91	-10932.58	-6413.88	55.59	37.05	0.02	1.70	24.30	34.01	32.55	56.27	60.45	93.51	76.68	25.77	-6249.75	6.29	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.14	4.33	14.789	-1.489	30.78	-121.35	-10913.84	-6413.74	53.17	36.54	0.02	1.70	24.30	34.50	32.23	56.37	60.58	93.53	76.70	25.76	-6249.75	6.39	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.15	4.39	14.788	-1.497	30.78	-122.04	-10906.76	-6420.31	52.77	36.76	0.02	1.70	24.32	35.11	32.08	56.42	60.67	93.68	76.72	25.77	-6249.75	6.39	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.16	4.43	14.798	-1.490	30.78	-122.50	-10916.72	-6419.96	49.96	36.84	0.02	1.70	24.34	35.47	32.01	56.48	60.77	93.78	76.73	25.76	-6249.75	6.49	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.17	4.50	14.805	-1.490	30.78	-125.95	-10948.25	-6418.70	49.53	36.33	0.02	1.71	24.33	36.08	32.00	56.55	60.87	93.88	76.77	25.78	-6249.75	6.49	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.18	4.58	14.818	-1.487	30.78	-128.92	-10998.68	-6416.52	50.34	37.79	0.02	1.71	24.34	36.21	32.42	56.63	60.97	94.03	76.77	25.79	-6249.75	6.58	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.19	4.63	14.821	-1.490	30.78	-125.27	-11054.71	-6409.63	51.28	41.57	0.02	1.72	24.36	36.69	32.38	56.69	61.09	94.11	76.81	25.81	-6249.75	6.58	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.20	4.69	14.824	-1.493	30.78	-118.66	-11093.27	-6414.24	52.83	45.18	0.02	1.73	24.37	37.43	32.13	56.72	61.20	94.16	76.88	25.82	-6249.75	6.68	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.21	4.73	14.833	-1.489	30.77	-113.49	-11110.35	-6422.22	52.95	47.61	0.02	1.73	24.37	37.55	32.28	56.79	61.33	94.21	76.91	25.81	-6249.75	6.68	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.22	4.78	14.849	-1.486	30.77	-116.13	-11112.69	-6425.71	52.35	47.03	0.02	1.73	24.37	38.16	32.14	56.90	61.45	94.32	76.91	25.80	-6249.75	6.78	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.23	4.84	14.843	-1.487	30.77	-121.28	-11111.45	-6422.08	52.70	44.93	0.02	1.73	24.38	38.40	32.31	57.04	61.48	94.42	76.91	25.83	-6249.75	6.78	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.24	4.91	14.846	-1.490	30.77	-125.08	-11098.45	-6405.60	52.73	42.69	0.02	1.73	24.35	39.26	32.09	57.19	61.58	94.52	76.91	25.85	-6249.75	6.87	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.25	4.95	14.856	-1.487	30.77	-125.59	-11069.25	-6388.03	52.38	42.33	0.02	1.73	24.36	39.26	32.33	57.35	61.67	94.64	76.91	25.87	-6249.75	6.87	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.26	4.99	14.855	-1.486	30.77	-122.59	-11033.56	-6375.60	53.82	43.14	0.02	1.73	24.35	39.74	32.18	57.58	61.79	94.74	76.91	25.84	-6249.75	6.95	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.27	5.08	14.861	-1.484	30.77	-118.01	-11000.72	-6377.94	56.11	44.86	0.02	1.72	24.34	40.48	32.18	57.80	61.95	94.87	76.91	25.84	-6249.75	6.95	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.28	5.12	14.875	-1.489	30.77	-117.90	-10974.32	-6389.79	57.44	46.84	0.02	1.72	24.32	40.84	32.13	58.04	62.07	94.99	76.91	25.83	-6249.75	7.05	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.29	5.19	14.868	-1.486	30.77	-123.09	-10958.40	-6413.53	58.20	48.51	0.02	1.71	24.33	41.33	32.21	58.36	62.24	95.15	76.88	25.81	-6249.75	7.05	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.30	5.29	14.861	-1.487	30.77	-125.53	-10961.80	-6434.67	57.37	50.26	0.02	1.70	24.34	41.82	32.41	58.65	62.32	95.30	76.85	25.80	-6249.75	7.15	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.31	5.34	14.867	-1.490	30.77	-120.17	-10999.81	-6445.64	55.13	53.17	0.02	1.71	24.33	42.43	32.28	58.96	62.42	95.42	76.86	25.78	-6249.75	7.15	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
