event,session,car,driver,lap,kph,parse_error,vehicle,report_type,round,source_file,extracted_at
TAS,P01,2,Ryan Wood,13,248,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,14,249,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,15,249,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,1,247,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,2,123,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,3,94,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,4,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,5,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,6,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,7,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,8,210,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,9,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
