Car,Lap,NumTyres,StopNumber
777,59,0,31
777,61,0,32
777,63,0,33
777,66,4,34
777,67,0,35
777,69,0,36
777,71,0,37
777,73,0,38
777,75,0,39
777,77,0,40
777,79,0,41
777,81,0,42
777,83,0,43
777,85,0,44
777,87,0,45
777,89,0,46
777,91,0,47
777,93,0,48
777,95,0,49
777,97,0,50
777,99,0,51
777,101,0,52
777,103,0,53
777,105,0,54
777,107,0,55
777,110,0,56
777,111,0,57
777,113,0,58
777,115,0,59
777,117,0,60
777,119,0,61
777,121,0,62
777,123,0,63
777,125,0,64
777,127,0,65
777,129,0,66
777,131,0,67
777,133,0,68
777,135,0,69
777,137,0,70
777,139,0,71
777,141,0,72
777,143,0,73
777,144,0,74
8,2,0,1
8,4,0,2
8,6,0,3
8,8,0,4
8,10,0,5
8,12,0,6
8,14,0,7
8,16,0,8
8,18,0,9
8,20,0,10
8,22,0,11
8,24,0,12
8,26,0,13
8,28,0,14
8,30,0,15
8,32,0,16
8,34,0,17
8,36,0,18
8,38,0,19
8,40,0,20
8,42,0,21
8,44,0,22
8,46,0,23
8,49,4,24
8,50,0,25
8,52,0,26
8,54,0,27
8,56,0,28
8,58,0,29
8,60,0,30
8,62,0,31
8,64,0,32
8,66,0,33
8,68,0,34
8,70,0,35
8,72,0,36
8,74,0,37
8,76,0,38
8,78,0,39
8,80,0,40
8,82,0,41
8,84,0,42
8,86,0,43
8,88,0,44
8,90,0,45
8,92,0,46
8,94,0,47
8,96,0,48
8,98,0,49
8,100,0,50
8,102,0,51
8,104,0,52
8,106,0,53
8,109,8,54
8,110,0,55
8,112,0,56
8,114,0,57
8,116,0,58
8,118,0,59
8,120,0,60
8,122,0,61
8,124,0,62
8,126,0,63
8,128,0,64
8,130,0,65
8,132,0,66
8,134,0,67
8,136,0,68
8,138,0,69
8,140,0,70
8,142,0,71
8,144,0,72
8,145,0,73
88,2,0,1
88,4,0,2
88,6,0,3
88,8,0,4
88,10,0,5
88,12,0,6
88,14,0,7
88,16,0,8
88,18,0,9
88,20,0,10
88,22,0,11
88,24,0,12
88,26,0,13
88,28,0,14
88,30,0,15
88,32,0,16
88,34,0,17
88,36,0,18
88,39,4,19
88,40,0,20
88,42,0,21
88,44,0,22
88,46,0,23
88,48,0,24
88,50,0,25
88,52,0,26
88,54,0,27
88,56,0,28
88,58,0,29
88,60,0,30
88,62,0,31
88,64,0,32
88,66,0,33
88,68,0,34
88,70,0,35
88,72,0,36
88,74,0,37
88,76,0,38
88,78,0,39
88,80,0,40
88,82,0,41
88,84,0,42
88,86,0,43
88,88,0,44
88,90,0,45
88,92,0,46
88,94,0,47
88,97,8,48
88,98,0,49
88,100,0,50
88,102,0,51
88,104,0,52
88,106,0,53
88,108,0,54
88,110,0,55
88,112,0,56
88,114,0,57
88,116,0,58
88,118,0,59
88,120,0,60
88,122,0,61
88,124,0,62
88,126,0,63
88,128,0,64
88,130,0,65
88,132,0,66
88,134,0,67
88,136,0,68
88,138,0,69
88,140,0,70
88,142,0,71
88,144,0,72
88,145,0,73
888,2,0,1
888,4,0,2
888,6,0,3
888,8,0,4
888,10,0,5
888,12,0,6
888,14,0,7
888,16,0,8
888,18,0,9
888,20,0,10
888,22,0,11
888,24,0,12
888,26,0,13
888,28,0,14
888,30,0,15
888,32,0,16
888,34,0,17
888,36,0,18
888,38,0,19
888,40,0,20
888,42,0,21
888,44,0,22
888,46,0,23
888,48,0,24
888,50,0,25
888,53,4,26
888,54,0,27
888,56,0,28
888,58,0,29
888,60,0,30
888,62,0,31
888,64,0,32
888,66,0,33
888,68,0,34
888,70,0,35
888,72,0,36
888,74,0,37
888,76,0,38
888,78,0,39
888,80,0,40
888,82,0,41
888,84,0,42
888,86,0,43
888,88,0,44
888,90,0,45
888,92,0,46
888,94,0,47
888,96,0,48
888,98,0,49
888,100,0,50
888,102,0,51
888,105,8,52
888,106,0,53
888,108,0,54
888,110,0,55
888,112,0,56
888,114,0,57
888,116,0,58
888,118,0,59
888,120,0,60
888,122,0,61
888,124,0,62
888,126,0,63
888,128,0,64
888,130,0,65
888,132,0,66
888,134,0,67
888,136,0,68
888,138,0,69
888,140,0,70
888,142,0,71
888,144,0,72
888,145,0,73
9,1,0,1
9,3,0,2
9,5,0,3
9,7,0,4
9,9,0,5
9,11,0,6
9,13,0,7
9,15,0,8
9,17,0,9
9,19,0,10
9,21,0,11
9,23,0,12
9,25,0,13
9,27,0,14
9,29,0,15
9,31,0,16
9,33,0,17
9,36,4,18
9,37,0,19
9,38,0,20
9,40,0,21
9,42,0,22
9,44,0,23
9,46,0,24
9,48,0,25
9,50,0,26
9,52,0,27
9,54,0,28
9,56,0,29
9,58,0,30
9,60,0,31
9,62,0,32
9,64,0,33
9,66,0,34
9,68,0,35
9,70,0,36
9,72,0,37
9,74,0,38
9,76,0,39
9,78,0,40
9,80,0,41
9,82,0,42
9,84,0,43
9,86,0,44
9,88,0,45
9,91,8,46
9,92,0,47
9,94,0,48
9,96,0,49
9,97,0,50
9,99,0,51
9,101,0,52
9,103,0,53
9,105,0,54
9,107,0,55
9,109,0,56
9,111,0,57
9,113,0,58
9,115,0,59
9,117,0,60
9,119,0,61
9,121,0,62
9,123,0,63
9,125,0,64
9,127,0,65
9,129,0,66
9,131,0,67
9,133,0,68
9,135,0,69
9,137,0,70
9,139,0,71
9,141,0,72
9,142,0,73
96,2,0,1
96,4,0,2
96,6,0,3
96,8,0,4
96,10,0,5
96,12,0,6
96,14,0,7
96,16,0,8
96,18,0,9
96,20,0,10
96,22,0,11
96,24,0,12
96,26,0,13
96,28,0,14
96,30,0,15
96,32,0,16
96,34,0,17
96,36,0,18
96,38,0,19
96,40,0,20
96,42,0,21
96,44,0,22
96,46,0,23
96,48,0,24
96,50,0,25
96,52,0,26
96,54,0,27
96,56,0,28
96,59,4,29
96,60,0,30
96,62,0,31
96,64,0,32
96,66,0,33
96,68,0,34
96,70,0,35
96,72,0,36
96,74,0,37
96,76,0,38
96,78,0,39
96,80,0,40
96,82,0,41
96,84,0,42
96,86,0,43
96,88,0,44
96,90,0,45
96,92,0,46
96,94,0,47
96,96,0,48
96,98,0,49
96,100,0,50
96,102,0,51
96,105,0,52
96,106,0,53
96,108,0,54
96,110,0,55
96,112,0,56
96,114,0,57
96,116,0,58
96,118,0,59
96,120,0,60
96,122,0,61
96,124,0,62
96,126,0,63
96,128,0,64
96,130,0,65
96,132,0,66
96,134,0,67
96,136,0,68
96,138,0,69
96,140,0,70
96,142,0,71
96,144,0,72
96,145,0,73
99,1,0,1
99,2,0,2
99,4,0,3
99,6,0,4
99,8,0,5
99,10,0,6
99,12,0,7
99,14,0,8
99,16,0,9
99,18,0,10
99,20,0,11
99,22,0,12
99,24,0,13
99,26,0,14
99,28,0,15
99,31,4,16
99,32,0,17
99,34,0,18
99,36,0,19
99,38,0,20
99,40,0,21
99,42,0,22
99,44,0,23
99,46,0,24
99,48,0,25
99,50,0,26
99,52,0,27
99,54,0,28
99,56,0,29
99,58,0,30
99,60,0,31
99,62,0,32
99,64,0,33
99,66,0,34
99,68,0,35
99,70,0,36
99,72,0,37
99,74,0,38
99,76,0,39
99,78,0,40
99,80,0,41
99,82,0,42
99,84,0,43
99,86,0,44
99,89,0,45
99,90,0,46
99,92,0,47
99,94,0,48
99,96,0,49
99,98,0,50
99,100,0,51
99,102,0,52
99,104,0,53
99,106,0,54
99,108,0,55
99,110,0,56
99,112,0,57
99,114,0,58
99,116,0,59
99,118,0,60
99,120,0,61
99,122,0,62
99,124,0,63
99,126,0,64
99,128,0,65
99,130,0,66
99,132,0,67
99,134,0,68
99,136,0,69
99,138,0,70
99,141,0,71
99,142,0,72
99,144,0,73
99,145,0,74
